url,label
aavin.tn.gov.in,0
abnhpm.gov.in,0
agnii.gov.in,0
ap.gov.in,0
aponline.gov.in,0
appolice.gov.in,0
attendance.gov.in,0
cgg.gov.in,0
eccs.gov.in,0
edisha.gov.in,0
enam.gov.in,0
eoffice.gov.in,0
gst.gov.in,0
haryanatax.gov.in,0
incometaxindiaefiling.gov.in,0
indiapost.gov.in,0
irdai.gov.in,0
itschool.gov.in,0
jscb.gov.in,0
kvic.gov.in,0
maharashtra.gov.in,0
mbmc.gov.in,0
mcd.gov.in,0
mhada.gov.in,0
mnre.gov.in,0
nielit.gov.in,0
nrsc.gov.in,0
nsez.gov.in,0
odishatax.gov.in,0
odishatreasury.gov.in,0
parivahan.gov.in,0
phedharyana.gov.in,0
punjab.gov.in,0
rcil.gov.in,0
shar.gov.in,0
telangana.gov.in,0
tnschools.gov.in,0
trai.gov.in,0
tspsc.gov.in,0
112.gov.in,0
11thnationalegovconf.gov.in,0
12thplan.gov.in,0
1stbnhapambala.haryanapolice.gov.in,0
1stbnirb.haryanapolice.gov.in,0
20pt.uk.gov.in,0
2ndirb.haryanapolice.gov.in,0
8ththeatreolympics.nsd.gov.in,0
aaad.gov.in,0
aaccc.gov.in,0
aadhaar.hp.gov.in,0
aadhaar.jharkhand.gov.in,0
aadhaar.maharashtra.gov.in,0
aadhaar.rajasthan.gov.in,0
aagac.puducherry.gov.in,0
aahar.jharkhand.gov.in,0
aaib.gov.in,0
aajeevika.gov.in,0
aaplesarkar.mahaonline.gov.in,0
aaplesarkar.maharashtra.gov.in,0
aasc.assam.gov.in,0
aavin.tn.gov.in,0
ab.dcmsme.gov.in,0
abcd.kdisc.kerala.gov.in,0
abnhpm.gov.in,0
acabcmis.gov.in,0
acb.mizoram.gov.in,0
acb.rajasthan.gov.in,0
acbap.gov.in,0
accessibleindia.gov.in,0
accountingonline.gov.in,0
activesync.mahafireservice.gov.in,0
actrec.gov.in,0
acy.bsf.gov.in,0
adgenez.gov.in,0
adibasikalyan.gov.in,0
adilabad.telangana.gov.in,0
admin.nsd.gov.in,0
ads.kerala.gov.in,0
